,machine_id,mem_util_percent,label
2018-01-02 23:20:00,m_1939,91.5,Anomaly
2018-01-02 23:25:00,m_1939,92.33333333333331,Anomaly
2018-01-02 23:30:00,m_1939,93.0,Anomaly
2018-01-02 23:35:00,m_1939,92.2,Anomaly
2018-01-02 23:40:00,m_1939,93.0,Anomaly
2018-01-02 23:45:00,m_1939,93.2,Anomaly
2018-01-02 23:50:00,m_1939,93.0,Anomaly
2018-01-02 23:55:00,m_1939,94.0,Anomaly
2018-01-03 00:00:00,m_1939,94.33333333333331,Anomaly
2018-01-03 00:05:00,m_1939,94.75,Anomaly
2018-01-03 00:10:00,m_1939,93.5,Anomaly
2018-01-03 00:15:00,m_1939,90.25,Anomaly
2018-01-03 00:20:00,m_1939,89.7142857142857,Anomaly
2018-01-03 00:25:00,m_1939,93.0,Anomaly
2018-01-03 00:30:00,m_1939,92.25,Anomaly
2018-01-03 00:35:00,m_1939,87.33333333333331,Anomaly
2018-01-03 00:40:00,m_1939,87.25,Anomaly
2018-01-03 00:45:00,m_1939,89.2,Anomaly
2018-01-03 00:50:00,m_1939,85.75,Anomaly
2018-01-03 01:00:00,m_1939,91.0,Anomaly
2018-01-03 01:05:00,m_1939,94.0,Anomaly
2018-01-03 01:10:00,m_1939,89.83333333333331,Anomaly
2018-01-03 01:20:00,m_1939,94.0,Anomaly
2018-01-03 01:25:00,m_1939,91.25,Anomaly
2018-01-03 01:30:00,m_1939,93.66666666666669,Anomaly
2018-01-03 01:35:00,m_1939,94.0,Anomaly
2018-01-03 01:40:00,m_1939,93.8,Anomaly
2018-01-03 01:45:00,m_1939,89.2,Anomaly
2018-01-03 01:50:00,m_1939,85.0,Anomaly
2018-01-03 01:55:00,m_1939,86.0,Anomaly
2018-01-03 02:05:00,m_1939,91.0,Anomaly
2018-01-03 02:10:00,m_1939,94.8,Anomaly
2018-01-03 02:15:00,m_1939,87.16666666666669,Anomaly
2018-01-03 02:20:00,m_1939,86.0,Anomaly
2018-01-03 02:25:00,m_1939,88.0,Anomaly
2018-01-03 02:30:00,m_1939,88.2,Anomaly
2018-01-03 02:35:00,m_1939,89.4,Anomaly
2018-01-03 02:40:00,m_1939,89.0,Anomaly
2018-01-03 02:45:00,m_1939,89.33333333333331,Anomaly
2018-01-03 02:50:00,m_1939,88.83333333333331,Anomaly
2018-01-03 02:55:00,m_1939,89.75,Anomaly
2018-01-03 03:00:00,m_1939,94.66666666666669,Anomaly
2018-01-03 03:05:00,m_1939,92.0,Anomaly
2018-01-03 03:10:00,m_1939,91.8,Anomaly
2018-01-03 03:20:00,m_1939,87.0,Anomaly
2018-01-03 03:25:00,m_1939,89.0,Anomaly
2018-01-03 03:30:00,m_1939,88.0,Anomaly
2018-01-03 03:35:00,m_1939,88.75,Anomaly
2018-01-03 03:40:00,m_1939,89.6,Anomaly
2018-01-03 03:45:00,m_1939,87.0,Anomaly
2018-01-03 03:55:00,m_1939,89.5,Anomaly
2018-01-03 04:00:00,m_1939,91.25,Anomaly
2018-01-03 04:05:00,m_1939,91.4,Anomaly
2018-01-03 04:10:00,m_1939,94.28571428571428,Anomaly
2018-01-03 04:15:00,m_1939,92.33333333333331,Anomaly
2018-01-03 04:20:00,m_1939,93.0,Anomaly
2018-01-03 04:25:00,m_1939,93.0,Anomaly
2018-01-03 04:30:00,m_1939,90.66666666666669,Anomaly
2018-01-03 04:35:00,m_1939,90.66666666666669,Anomaly
2018-01-03 04:40:00,m_1939,94.75,Anomaly
2018-01-03 04:45:00,m_1939,95.0,Anomaly
2018-01-03 04:50:00,m_1939,92.0,Anomaly
2018-01-03 04:55:00,m_1939,89.6,Anomaly
2018-01-03 05:00:00,m_1939,94.0,Anomaly
2018-01-03 05:05:00,m_1939,92.0,Anomaly
2018-01-03 05:10:00,m_1939,92.0,Anomaly
2018-01-03 05:15:00,m_1939,92.0,Anomaly
2018-01-03 05:20:00,m_1939,92.5,Anomaly
2018-01-03 05:25:00,m_1939,94.0,Anomaly
2018-01-03 05:30:00,m_1939,93.4,Anomaly
2018-01-03 05:35:00,m_1939,96.2,Anomaly
2018-01-03 05:40:00,m_1939,95.0,Anomaly
2018-01-03 05:50:00,m_1939,93.0,Anomaly
2018-01-03 05:55:00,m_1939,92.0,Anomaly
2018-01-03 06:00:00,m_1939,93.5,Anomaly
2018-01-03 06:05:00,m_1939,96.0,Anomaly
2018-01-03 06:10:00,m_1939,97.0,Anomaly
2018-01-03 06:15:00,m_1939,91.0,Anomaly
2018-01-03 06:20:00,m_1939,91.0,Anomaly
2018-01-03 06:25:00,m_1939,94.5,Anomaly
2018-01-03 06:30:00,m_1939,96.0,Anomaly
2018-01-03 06:35:00,m_1939,94.5,Anomaly
2018-01-03 06:40:00,m_1939,96.75,Anomaly
2018-01-03 06:45:00,m_1939,93.0,Anomaly
2018-01-03 06:50:00,m_1939,87.66666666666669,Anomaly
2018-01-03 06:55:00,m_1939,88.4,Anomaly
2018-01-03 07:00:00,m_1939,88.66666666666669,Anomaly
2018-01-03 07:05:00,m_1939,88.0,Anomaly
2018-01-03 07:10:00,m_1939,86.0,Anomaly
2018-01-03 07:15:00,m_1939,85.66666666666667,Anomaly
2018-01-03 07:20:00,m_1939,85.0,Anomaly
2018-01-03 07:25:00,m_1939,86.25,Anomaly
